Sampling Site,River,Location
Nurpur Upstream,Nurpur,Upstream
Nurpur Midstream,Nurpur,Midstream
Nurpur Downstream,Nurpur,Downstream
Shahdara Upstream,Shahdara,Upstream
Shahdara Midstream,Shahdara,Midstream
Shahdara Downstream,Shahdara,Downstream
Jinnah Upstream,Jinnah,Upstream
Jinnah Midstream,Jinnah,Midstream
Jinnah Downstream,Jinnah,Downstream
Korang Upstream,Korang,Upstream
Korang Midstream,Korang,Midstream
Korang Downstream,Korang,Downstream
Rawal Lake Upstream,Rawal Lake,Upstream
Rawal Lake Midstream,Rawal Lake,Midstream
Rawal Lake Downstream,Rawal Lake,Downstream
Filtration Plant,Filtration Plant,
Filteration Plant,Filtration Plant,